iter	Passed	Remaining
399	22687	34031
400	22749	33981
401	22806	33926
402	22867	33875
403	22924	33819
404	22980	33760
405	23039	33708
406	23102	33661
407	23501	34100
408	23668	34201
409	23878	34361
410	24010	34409
411	24112	34413
412	24200	34396
413	24272	34356
414	24341	34313
415	24468	34350
416	24533	34300
417	24599	34250
418	24664	34200
419	24733	34155
420	24825	34142
421	24892	34094
422	24960	34047
423	25029	34002
424	25100	33959
425	25288	34073
426	25477	34189
427	25585	34193
428	25674	34172
429	25747	34130
430	25837	34109
431	25896	34048
432	25949	33980
433	26012	33924
434	26067	33858
435	26128	33799
436	26193	33746
437	26245	33675
438	26301	33611
439	26361	33550
440	26435	33508
441	26491	33443
442	26569	33406
443	26630	33347
444	26720	33325
445	26782	33268
446	26846	33213
447	26965	33225
448	27111	33270
449	27316	33387
450	27470	33439
451	27540	33389
452	27625	33358
453	27700	33314
454	27765	33257
455	27848	33222
456	27953	33214
457	28033	33175
458	28112	33135
459	28175	33075
460	28252	33032
461	28331	32991
462	28378	32914
463	28449	32864
464	28512	32804
465	28569	32738
466	28629	32675
467	28817	32757
468	29019	32855
469	29097	32812
470	29185	32779
471	29259	32730
472	29310	32656
473	29374	32597
474	29438	32536
475	29508	32483
476	29571	32423
477	29630	32358
478	29703	32307
479	29770	32251
480	29843	32201
481	29926	32161
482	29996	32108
483	30137	32129
484	30300	32175
485	30456	32211
486	30601	32234
487	30651	32158
488	30697	32078
489	30744	31999
490	30787	31916
491	30832	31835
492	30911	31789
493	30964	31716
494	31015	31642
495	31059	31560
496	31103	31479
497	31157	31407
498	31249	31374
499	31313	31313
500	31372	31247
501	31438	31187
502	31497	31122
503	31575	31074
504	31637	31011
505	31695	30943
506	31767	30890
507	31879	30875
508	31938	30809
509	31987	30732
510	32051	30671
511	32238	30727
512	32539	30889
513	32674	30894
514	32909	30992
515	33102	31049
516	33320	31129
517	33465	31139
518	33604	31143
519	33734	31139
520	33842	31114
521	34067	31195
522	34316	31297
523	34391	31241
524	34463	31181
525	34543	31128
526	34606	31060
527	34679	31001
528	34744	30934
529	34809	30868
530	34881	30808
531	34953	30748
532	35020	30683
533	35098	30629
534	35158	30558
535	35211	30481
536	35268	30408
537	35331	30340
538	35386	30265
539	35443	30192
540	35512	30130
541	35570	30057
542	35628	29985
543	35683	29911
544	35741	29839
545	35797	29765
546	35867	29703
547	35924	29630
548	35981	29558
549	36039	29486
550	36092	29410
551	36146	29336
552	36206	29266
553	36270	29199
554	36336	29135
555	36400	29068
556	36462	28999
557	36535	28940
558	36593	28869
559	36653	28798
560	36720	28735
561	36813	28690
562	36891	28634
563	36963	28574
564	37020	28502
565	37082	28434
566	37374	28541
567	37441	28476
568	37491	28398
569	37538	28318
570	37605	28253
571	37683	28196
572	37730	28116
573	37779	28038
574	37836	27966
575	37887	27889
576	37938	27813
577	37983	27732
578	38025	27649
579	38071	27569
580	38119	27490
581	38191	27429
582	38295	27391
583	38357	27323
584	38404	27244
585	38461	27172
586	38521	27102
587	38573	27027
588	38615	26945
589	38657	26863
590	38698	26781
591	38745	26703
592	38785	26619
593	38844	26550
594	38939	26504
595	39048	26469
596	39189	26454
597	39320	26432
598	39478	26428
599	39577	26385
600	39724	26372
601	39829	26332
602	39908	26274
603	40013	26233
604	40087	26173
605	40151	26105
606	40238	26052
607	40342	26010
608	40445	25967
609	40732	26042
610	40831	25995
611	40918	25941
612	41017	25895
613	41120	25851
614	41200	25792
615	41300	25745
616	41382	25688
617	41469	25633
618	41574	25589
619	41675	25542
620	41776	25496
621	41879	25451
622	41957	25390
623	42064	25346
624	42153	25291
625	42253	25244
626	42310	25170
627	42406	25119
628	42496	25065
629	42634	25039
630	42758	25004
631	42849	24950
632	42935	24892
633	43007	24827
634	43134	24793
635	43242	24748
636	43356	24707
637	43468	24664
638	43588	24625
639	43690	24575
640	43816	24539
641	44034	24555
642	44333	24614
643	44432	24562
644	44544	24516
645	44707	24499
646	44801	24443
647	44882	24380
648	44986	24330
649	45110	24290
650	45186	24224
651	45298	24177
652	45404	24127
653	45525	24085
654	45606	24021
655	45723	23977
656	45822	23922
657	45902	23858
658	45994	23799
659	46095	23745
660	46217	23703
661	46339	23659
662	46473	23622
663	46567	23564
664	46668	23509
665	46753	23446
666	46939	23434
667	47020	23369
668	47079	23293
669	47131	23213
670	47182	23134
671	47232	23053
672	47284	22974
673	47328	22891
674	47374	22809
675	47426	22731
676	47492	22658
677	47544	22580
678	47596	22501
679	47647	22422
680	47708	22347
681	47760	22269
682	47813	22191
683	47860	22110
684	47902	22028
685	47939	21942
686	47976	21858
687	48012	21773
688	48050	21689
689	48093	21607
690	48129	21522
691	48167	21438
692	48202	21353
693	48248	21273
694	48295	21194
695	48385	21134
696	48575	21116
697	48638	21044
698	48695	20969
699	48744	20890
700	48795	20812
701	48846	20735
702	48901	20659
703	48973	20591
704	49059	20528
705	49119	20454
706	49180	20381
707	49238	20307
708	49295	20232
709	49356	20159
710	49436	20094
711	49537	20037
712	49672	19994
713	49738	19923
714	49789	19846
715	49850	19773
716	49902	19696
717	49958	19621
718	50014	19546
719	50071	19472
720	50120	19394
721	50175	19319
722	50242	19249
723	50295	19173
724	50349	19097
725	50413	19026
726	50474	18953
727	50533	18880
728	50586	18805
729	50648	18733
730	50703	18658
731	50754	18582
732	50810	18508
733	50877	18438
734	50928	18362
735	50978	18285
736	51022	18207
737	51072	18131
738	51117	18053
739	51159	17974
740	51206	17898
741	51251	17820
742	51297	17743
743	51342	17666
744	51389	17589
745	51440	17514
746	51486	17437
747	51537	17362
748	51581	17285
749	51629	17209
750	51674	17132
751	51718	17056
752	51761	16978
753	51804	16901
754	51849	16825
755	51890	16747
756	51935	16671
757	51977	16594
758	52023	16518
759	52064	16441
760	52108	16365
761	52149	16288
762	52191	16211
763	52233	16134
764	52276	16058
765	52318	15982
766	52360	15906
767	52404	15830
768	52445	15754
769	52486	15677
770	52532	15603
771	52574	15527
772	52619	15452
773	52666	15378
774	52712	15303
775	52759	15229
776	52807	15155
777	52856	15082
778	52902	15008
779	52957	14936
780	53004	14863
781	53051	14789
782	53102	14716
783	53148	14642
784	53198	14570
785	53245	14496
786	53290	14423
787	53335	14349
788	53379	14275
789	53421	14200
790	53466	14127
791	53512	14053
792	53557	13980
793	53602	13906
794	53645	13833
795	53691	13760
796	53737	13687
797	53781	13613
798	53827	13541
799	53877	13469
800	53922	13396
801	53964	13322
802	54013	13251
803	54058	13178
804	54104	13106
805	54147	13032
806	54175	12956
807	54218	12883
808	54264	12811
809	54315	12740
810	54358	12668
811	54404	12596
812	54448	12523
813	54498	12452
814	54542	12380
815	54586	12308
816	54632	12237
817	54674	12164
818	54719	12093
819	54767	12022
820	54812	11950
821	54860	11879
822	54903	11808
823	54947	11736
824	54992	11664
825	55036	11593
826	55082	11522
827	55127	11451
828	55170	11380
829	55216	11309
830	55256	11237
831	55297	11165
832	55340	11094
833	55383	11023
834	55424	10952
835	55472	10882
836	55529	10814
837	55591	10746
838	55638	10676
839	55679	10605
840	55724	10535
841	55771	10465
842	55813	10394
843	55857	10324
844	55901	10254
845	55944	10183
846	55988	10113
847	56032	10043
848	56078	9973
849	56123	9904
850	56167	9834
851	56214	9764
852	56260	9695
853	56307	9626
854	56356	9557
855	56402	9488
856	56451	9419
857	56498	9350
858	56545	9281
859	56588	9212
860	56638	9143
861	56684	9074
862	56735	9006
863	56783	8938
864	56833	8869
865	56883	8801
866	56930	8733
867	56977	8664
868	57021	8595
869	57066	8527
870	57117	8459
871	57169	8391
872	57215	8323
873	57261	8255
874	57306	8186
875	57352	8118
876	57398	8050
877	57444	7982
878	57492	7914
879	57551	7847
880	57605	7781
881	57686	7717
882	57755	7652
883	57821	7587
884	57885	7521
885	57951	7456
886	58003	7389
887	58060	7322
888	58107	7255
889	58151	7187
890	58196	7119
891	58244	7052
892	58290	6984
893	58337	6916
894	58388	6849
895	58440	6783
896	58487	6715
897	58534	6648
898	58589	6582
899	58638	6515
900	58694	6449
901	58742	6382
902	58796	6315
903	58849	6249
904	58910	6183
905	58958	6117
906	59007	6050
907	59047	5982
908	59105	5917
909	59143	5849
910	59191	5782
911	59233	5715
912	59276	5648
913	59319	5581
914	59362	5514
915	59404	5447
916	59446	5380
917	59488	5313
918	59532	5247
919	59575	5180
920	59624	5114
921	59673	5048
922	59753	4984
923	59797	4918
924	59843	4852
925	59907	4787
926	59963	4722
927	60012	4656
928	60070	4590
929	60126	4525
930	60173	4459
931	60240	4395
932	60290	4329
933	60356	4265
934	60409	4199
935	60452	4133
936	60499	4067
937	60554	4002
938	60618	3937
939	60679	3873
940	60730	3807
941	60784	3742
942	60837	3677
943	60891	3612
944	60941	3546
945	60990	3481
946	61044	3416
947	61107	3351
948	61179	3287
949	61244	3223
950	61342	3160
951	61444	3098
952	61544	3035
953	61611	2970
954	61690	2906
955	61766	2842
956	61828	2778
957	61886	2713
958	61950	2648
959	62010	2583
960	62071	2519
961	62132	2454
962	62214	2390
963	62277	2325
964	62337	2260
965	62400	2196
966	62461	2131
967	62520	2066
968	62573	2001
969	62652	1937
970	62745	1873
971	62807	1809
972	62862	1744
973	62945	1680
974	63008	1615
975	63108	1551
976	63168	1487
977	63242	1422
978	63316	1358
979	63399	1293
980	63466	1229
981	63520	1164
982	63585	1099
983	63640	1034
984	63705	970
985	63763	905
986	63808	840
987	63857	775
988	63910	710
989	63975	646
990	64027	581
991	64082	516
992	64136	452
993	64193	387
994	64245	322
995	64301	258
996	64347	193
997	64487	129
998	64667	64
999	64719	0
