iter	Logloss
0	0.6805423793
1	0.6694086221
2	0.6589062251
3	0.6503508495
4	0.6419617449
5	0.6338514289
6	0.627924082
7	0.6209293415
8	0.6137579876
9	0.6071797294
10	0.6009420525
11	0.5954648759
12	0.5908253247
13	0.5862980463
14	0.5808258339
15	0.5765800077
16	0.5714973544
17	0.5659844574
18	0.5625446167
19	0.5577243254
20	0.552029043
21	0.5472045601
22	0.5429224747
23	0.5389402709
24	0.5343166487
25	0.5311017608
26	0.5275646169
27	0.5247564914
28	0.5205540072
29	0.5166869302
30	0.5140869052
31	0.5098358498
32	0.5063628882
33	0.5025922824
34	0.4999827686
35	0.4962469287
36	0.493545692
37	0.4921225708
38	0.4886399749
39	0.4863421719
40	0.483574069
41	0.4814191032
42	0.4785890448
43	0.4762244593
44	0.4727756009
45	0.4702002922
46	0.4668526014
47	0.4640669015
48	0.4621903533
49	0.4590735754
50	0.4572796882
51	0.4553594199
52	0.4520881279
53	0.4491910926
54	0.4466363269
55	0.4435880491
56	0.4410458956
57	0.4388685107
58	0.4370023073
59	0.4348689184
60	0.4323450365
61	0.4300283537
62	0.4268868276
63	0.4228638943
64	0.4203705871
65	0.4178786044
66	0.4159803791
67	0.4130165511
68	0.4106169859
69	0.4078582684
70	0.4054735052
71	0.4029563719
72	0.4005536916
73	0.3991393786
74	0.3979499228
75	0.3948695416
76	0.3929046068
77	0.391430151
78	0.3896201681
79	0.3888591719
80	0.3867216678
81	0.3841330869
82	0.3810028803
83	0.3791297971
84	0.3780475359
85	0.3765900887
86	0.3746171303
87	0.3735175974
88	0.3712829235
89	0.3693883966
90	0.3670946013
91	0.3655734028
92	0.3629732928
93	0.3615357015
94	0.3602510736
95	0.3585734266
96	0.3557114369
97	0.3541344004
98	0.3520932131
99	0.3510429317
100	0.3488872554
101	0.3481867031
102	0.3457724619
103	0.3444696353
104	0.3432236901
105	0.3421074324
106	0.3395735579
107	0.3380281721
108	0.3363895775
109	0.3356587704
110	0.3350351418
111	0.333560593
112	0.332167238
113	0.3310799675
114	0.3289664931
115	0.3280167057
116	0.3260149455
117	0.3249796631
118	0.3233958283
119	0.3217644889
120	0.3204286903
121	0.3192331708
122	0.3179686707
123	0.3172806242
124	0.315901445
125	0.3147098042
126	0.3138798118
127	0.3127616603
128	0.3111850703
129	0.3088733391
130	0.3082566995
131	0.3067838793
132	0.3055415517
133	0.3038057727
134	0.3024958215
135	0.3012527802
136	0.299733901
137	0.2986581249
138	0.2972471485
139	0.2947862092
140	0.2939499776
141	0.2930691693
142	0.2909916334
143	0.2899111281
144	0.2885149732
145	0.2877250244
146	0.2866770999
147	0.2863573024
148	0.2855690624
149	0.2849445136
150	0.2838859934
151	0.2826646489
152	0.2816111769
153	0.280157186
154	0.2790858053
155	0.2786406226
156	0.27782186
157	0.2764590989
158	0.2756952206
159	0.274874709
160	0.2736546283
161	0.2727688962
162	0.2722471126
163	0.2711800218
164	0.2694112163
165	0.2682293761
166	0.2671870904
167	0.2665898869
168	0.2658429816
169	0.2654722468
170	0.2646568337
171	0.2639450741
172	0.2626000909
173	0.262026691
174	0.2614882973
175	0.260923579
176	0.2596471123
177	0.2588879634
178	0.2581011219
179	0.2571732089
180	0.2564321685
181	0.2557437489
182	0.2548905508
183	0.2541263978
184	0.2530059004
185	0.2521812352
186	0.2512514388
187	0.2505635385
188	0.2494609726
189	0.2485551317
190	0.2475904677
191	0.2471135319
192	0.246593729
193	0.2455060181
194	0.2449503694
195	0.2447294092
196	0.2433936227
197	0.2423551663
198	0.2420384713
199	0.2412522167
200	0.2407422269
201	0.2397456847
202	0.2391665669
203	0.2386517913
204	0.2380294617
205	0.2371251257
206	0.2363543303
207	0.2346927175
208	0.2341003337
209	0.2336111418
210	0.2327482471
211	0.2320874264
212	0.2312552659
213	0.2306391745
214	0.2299909472
215	0.2288377027
216	0.2282090517
217	0.2277113712
218	0.2265628887
219	0.2263235487
220	0.2257695881
221	0.2253074224
222	0.2246992909
223	0.2238859897
224	0.2234424196
225	0.2224999918
226	0.2220670147
227	0.2213585173
228	0.2206469038
229	0.2200636752
230	0.2190585875
231	0.2185142185
232	0.2178746564
233	0.2175170638
234	0.2171928523
235	0.2167968997
236	0.2161103422
237	0.2154260288
238	0.2150272055
239	0.2144669523
240	0.2140366389
241	0.2135998801
242	0.2131154907
243	0.2124881747
244	0.2119878047
245	0.2116010012
246	0.2110833743
247	0.2107558996
248	0.2105972307
249	0.2101561027
250	0.2089773139
251	0.208465805
252	0.2079601466
253	0.2077646791
254	0.206780131
255	0.2061873035
256	0.2055600089
257	0.2050580806
258	0.2048465419
259	0.2041122961
260	0.2034417251
261	0.2029985547
262	0.2024839923
263	0.2023029541
264	0.2017326269
265	0.2009886885
266	0.200676157
267	0.2004025572
268	0.199945336
269	0.1994358555
270	0.1992470893
271	0.19889712
272	0.1983829141
273	0.1977753435
274	0.1969949852
275	0.1963603715
276	0.1959697618
277	0.1956397354
278	0.19482558
279	0.1943358813
280	0.1939779809
281	0.193795872
282	0.1933909375
283	0.1928210033
284	0.1922424141
285	0.1917491089
286	0.1915625993
287	0.1908224079
288	0.1905240757
289	0.1897795607
290	0.1894104307
291	0.1888524951
292	0.1879905978
293	0.1875183347
294	0.187229861
295	0.1868745811
296	0.1864266738
297	0.1858489415
298	0.1852610348
299	0.1847075403
300	0.1843453239
301	0.1839706872
302	0.1833328668
303	0.1830701272
304	0.1826746496
305	0.1823332374
306	0.1820566512
307	0.1817495639
308	0.1809408291
309	0.1805354005
310	0.180241743
311	0.1797469609
312	0.1792198225
313	0.1788294893
314	0.178196699
315	0.1779534726
316	0.1776662285
317	0.1773033744
318	0.176953147
319	0.1763567436
320	0.1761730789
321	0.1755820421
322	0.1753054145
323	0.1749975799
324	0.1748220936
325	0.1745767986
326	0.1742534492
327	0.1738658767
328	0.1734325942
329	0.17323589
330	0.1726167856
331	0.1722533015
332	0.1721051657
333	0.1716039813
334	0.1710391737
335	0.1705760703
336	0.1704039809
337	0.170164682
338	0.1698778214
339	0.1697477774
340	0.1695920442
341	0.1692076947
342	0.1687897891
343	0.1687862781
344	0.1683332798
345	0.167654505
346	0.1674761844
347	0.1671486805
348	0.1668596208
349	0.1664116241
350	0.1658026523
351	0.1653761377
352	0.1648440015
353	0.1642837805
354	0.1637760275
355	0.1633309375
356	0.1632651962
357	0.1629845138
358	0.1626043538
359	0.1619582457
360	0.1613639429
361	0.1607479341
362	0.160342682
363	0.1597341005
364	0.15957961
365	0.1592991183
366	0.1588995609
367	0.1588544145
368	0.1585399524
369	0.1583554848
370	0.1579479654
